,timestamp,operator_id,event,task_id
0,2025-08-20T10:00:04Z,B,task_start,B-1
1,2025-08-20T10:00:09Z,C,task_start,C-1
2,2025-08-20T10:00:12Z,C,task_complete,C-1
3,2025-08-20T10:00:15Z,A,task_start,A-1
4,2025-08-20T10:00:17Z,A,task_complete,A-1
5,2025-08-20T10:00:20Z,A,task_start,A-2
6,2025-08-20T10:00:27Z,C,task_start,C-2
7,2025-08-20T10:00:32Z,B,task_complete,B-1
8,2025-08-20T10:00:34Z,A,task_complete,A-2
9,2025-08-20T10:00:37Z,A,task_start,A-3
10,2025-08-20T10:00:41Z,C,task_error,C-2
11,2025-08-20T10:00:43Z,B,task_start,B-2
12,2025-08-20T10:00:46Z,B,task_complete,B-2
13,2025-08-20T10:00:48Z,B,task_start,B-3
14,2025-08-20T10:00:55Z,C,task_start,C-3
15,2025-08-20T10:00:58Z,A,task_complete,A-3
16,2025-08-20T10:01:00Z,C,task_error,C-3
17,2025-08-20T10:01:06Z,A,task_start,A-4
18,2025-08-20T10:01:08Z,A,task_error,A-4
19,2025-08-20T10:01:11Z,A,task_start,A-5
20,2025-08-20T10:01:19Z,A,task_complete,A-5
21,2025-08-20T10:01:24Z,C,task_start,C-4
22,2025-08-20T10:01:26Z,B,task_complete,B-3
23,2025-08-20T10:01:32Z,A,task_start,A-6
24,2025-08-20T10:01:40Z,B,task_start,B-4
25,2025-08-20T10:01:45Z,A,task_complete,A-6
26,2025-08-20T10:01:52Z,A,task_start,A-7
27,2025-08-20T10:01:54Z,B,task_complete,B-4
28,2025-08-20T10:01:56Z,B,task_start,B-5
29,2025-08-20T10:02:02Z,C,task_error,C-4
30,2025-08-20T10:02:07Z,B,task_complete,B-5
31,2025-08-20T10:02:11Z,B,task_start,B-6
32,2025-08-20T10:02:16Z,A,task_complete,A-7
33,2025-08-20T10:02:19Z,A,task_start,A-8
34,2025-08-20T10:02:25Z,B,task_complete,B-6
35,2025-08-20T10:02:29Z,C,task_start,C-5
36,2025-08-20T10:02:33Z,C,task_complete,C-5
37,2025-08-20T10:02:37Z,C,task_start,C-6
38,2025-08-20T10:02:44Z,C,task_complete,C-6
39,2025-08-20T10:02:51Z,C,task_start,C-7
40,2025-08-20T10:02:55Z,B,task_start,B-7
41,2025-08-20T10:02:58Z,A,task_complete,A-8
42,2025-08-20T10:03:05Z,C,task_complete,C-7
43,2025-08-20T10:03:11Z,C,task_start,C-8
44,2025-08-20T10:03:14Z,C,task_complete,C-8
45,2025-08-20T10:03:18Z,C,task_start,C-9
46,2025-08-20T10:03:20Z,B,task_complete,B-7
47,2025-08-20T10:03:24Z,B,task_start,B-8
48,2025-08-20T10:03:27Z,C,task_complete,C-9
49,2025-08-20T10:03:31Z,B,task_complete,B-8
50,2025-08-20T10:03:34Z,B,task_start,B-9
51,2025-08-20T10:03:41Z,A,task_start,A-9
52,2025-08-20T10:03:43Z,B,task_complete,B-9
53,2025-08-20T10:03:49Z,A,task_complete,A-9
54,2025-08-20T10:03:55Z,C,task_start,C-10
55,2025-08-20T10:03:57Z,B,task_start,B-10
56,2025-08-20T10:03:59Z,B,task_complete,B-10
