timestamp,operator_id,task_health_score,raw_score,total_tasks,error_tasks,complete_tasks,start_tasks,momentum_factor
2025-08-20T10:00:07Z,A,60.0,60.0,1,0,0,1,0.7
2025-08-20T10:00:07Z,B,60.0,60.0,1,0,0,1,0.7
2025-08-20T10:00:07Z,C,75.0,75.0,0,0,0,0,0.7
2025-08-20T10:00:17Z,A,64.5,75.0,0,0,0,0,0.7
2025-08-20T10:00:17Z,B,64.5,75.0,0,0,0,0,0.7
2025-08-20T10:00:17Z,C,70.5,60.0,1,0,0,1,0.7
2025-08-20T10:00:27Z,A,75.15,100.0,1,0,1,0,0.7
2025-08-20T10:00:27Z,B,67.65,75.0,0,0,0,0,0.7
2025-08-20T10:00:27Z,C,68.1,62.5,2,1,0,1,0.7
2025-08-20T10:00:37Z,A,75.11,75.0,0,0,0,0,0.7
2025-08-20T10:00:37Z,B,62.36,50.0,1,1,0,0,0.7
2025-08-20T10:00:37Z,C,70.17,75.0,0,0,0,0,0.7
2025-08-20T10:00:47Z,A,82.57,100.0,2,0,1,1,0.7
2025-08-20T10:00:47Z,B,66.15,75.0,0,0,0,0,0.7
2025-08-20T10:00:47Z,C,79.12,100.0,1,0,1,0,0.7
2025-08-20T10:00:57Z,A,80.3,75.0,1,0,0,1,0.7
2025-08-20T10:00:57Z,B,68.8,75.0,1,0,0,1,0.7
2025-08-20T10:00:57Z,C,77.88,75.0,0,0,0,0,0.7
2025-08-20T10:01:07Z,A,78.71,75.0,0,0,0,0,0.7
2025-08-20T10:01:07Z,B,78.16,100.0,1,0,1,0,0.7
2025-08-20T10:01:07Z,C,77.02,75.0,0,0,0,0,0.7
2025-08-20T10:01:17Z,A,85.1,100.0,1,0,1,0,0.7
2025-08-20T10:01:17Z,B,77.21,75.0,0,0,0,0,0.7
2025-08-20T10:01:17Z,C,83.91,100.0,2,0,1,1,0.7
2025-08-20T10:01:27Z,A,82.07,75.0,0,0,0,0,0.7
2025-08-20T10:01:27Z,B,76.55,75.0,1,0,0,1,0.7
2025-08-20T10:01:27Z,C,81.24,75.0,0,0,0,0,0.7
2025-08-20T10:01:37Z,A,79.95,75.0,0,0,0,0,0.7
2025-08-20T10:01:37Z,B,83.58,100.0,1,0,1,0,0.7
2025-08-20T10:01:37Z,C,74.87,60.0,1,0,0,1,0.7
2025-08-20T10:01:47Z,A,78.46,75.0,0,0,0,0,0.7
2025-08-20T10:01:47Z,B,72.76,47.5,2,1,0,1,0.7
2025-08-20T10:01:47Z,C,74.91,75.0,0,0,0,0,0.7
2025-08-20T10:01:57Z,A,77.42,75.0,1,0,0,1,0.7
2025-08-20T10:01:57Z,B,73.43,75.0,0,0,0,0,0.7
2025-08-20T10:01:57Z,C,82.43,100.0,1,0,1,0,0.7
2025-08-20T10:02:07Z,A,84.2,100.0,1,0,1,0,0.7
